-350 -340 -200 
350 -340 -200 
350 -320 -200 
-350 -320 -200 
-350 -300 -200 
350 -300 -200 
350 -280 -200 
-350 -280 -200 
-350 -260 -200 
350 -260 -200 
350 -240 -200 
-350 -240 -200 
-350 -220 -200 
350 -220 -200 
350 -200 -200 
-350 -200 -200 
-350 -180 -200 
350 -180 -200 
350 -160 -200 
-350 -160 -200 
-350 -140 -200 
350 -140 -200 
350 -120 -200 
-350 -120 -200 
-350 -100 -200 
350 -100 -200 
350 -80 -200 
-350 -80 -200 
-350 -60 -200 
350 -60 -200 
350 -40 -200 
-350 -40 -200 
-350 -20 -200 
350 -20 -200 
350 0 -200 
-350 0 -200 
-350 20 -200 
350 20 -200 
350 40 -200 
-350 40 -200 
-350 60 -200 
350 60 -200 
350 80 -200 
-350 80 -200 
-350 100 -200 
350 100 -200 
350 120 -200 
-350 120 -200 
-350 140 -200 
350 140 -200 
350 160 -200 
-350 160 -200 
-350 180 -200 
350 180 -200 
350 200 -200 
-350 200 -200 
-350 220 -200 
350 220 -200 
350 240 -200 
-350 240 -200 
-350 260 -200 
350 260 -200 
350 280 -200 
-350 280 -200 
-350 300 -200 
350 300 -200 
350 320 -200 
-350 320 -200 
-350 340 -200 
350 340 -200 
